db_id	quality	adom_id	substrate	smiles	module	nrps_prot_id	adom_protein_start	adom_protein_end	adom_nucleotide_start_end_strand	locus_tag	genomic_id	Mibig_id	neighbours	taxid	lineage
ADD0000	gold	DMB38_33850_AMP-binding.1	tryptophan	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N	1	AZM50110.1	469.0	865.0	(7804613, 7805801, '(+)')	DMB38_33850	CP029618	BGC0002702	['DMB38_33850_NRPS-COM_Nterm.1', 'DMB38_33850_Cglyc.1', 'DMB38_33850_PCP.1', 'DMB38_33850_Epimerization.1', 'DMB38_33850_TIGR01720.1']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0001	gold	DMB38_33860_AMP-binding.1	4-hydroxyphenylglycine	C1=CC(=CC=C1[C@@H](C(=O)O)N)O	1	AZM50111.1	462.0	860.0	(7813894, 7815088, '(+)')	DMB38_33860	CP029618	BGC0002702	['DMB38_33860_NRPS-COM_Nterm.1', 'DMB38_33860_Cglyc.1', 'DMB38_33860_PCP.1', 'DMB38_33860_Epimerization.1', 'DMB38_33860_TIGR01720.1', 'DMB38_33860_NRPS-COM_Cterm.1']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0002	gold	DMB38_33860_AMP-binding.2	3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1	2	AZM50111.1	2001.0	2389.0	(7818511, 7819675, '(+)')	DMB38_33860	CP029618	BGC0002702	['DMB38_33860_Cglyc.2', 'DMB38_33860_PCP.2', 'DMB38_33860_Epimerization.2', 'DMB38_33860_TIGR01720.2']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0003	gold	DMB38_33860_AMP-binding.3	tyrosine	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	3	AZM50111.1	3518.0	3914.0	(7823062, 7824250, '(+)')	DMB38_33860	CP029618	BGC0002702	['DMB38_33860_Cglyc.3', 'DMB38_33860_PCP.3', 'DMB38_33860_Epimerization.3', 'DMB38_33860_TIGR01720.3']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0004	gold	DMB38_33845_AMP-binding.1	3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1	1	AZM51139.1	42.0	436.0	(7793637, 7794819, '(+)')	DMB38_33845	CP029618	BGC0002702	['DMB38_33845_PCP.1', 'DMB38_33845_Cglyc.1', 'DMB38_33845_Epimerization.1', 'DMB38_33845_TIGR01720.1', 'DMB38_33845_NRPS-COM_Cterm.1']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0005	gold	DMB38_33845_AMP-binding.2	3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1	2	AZM51139.1	1097.0	1491.0	(7796802, 7797984, '(+)')	DMB38_33845	CP029618	BGC0002702	['DMB38_33845_PCP.2', 'DMB38_33845_Cglyc.2']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0006	gold	DMB38_33845_AMP-binding.3	valine	CC(C)[C@@H](C(=O)O)N	3	AZM51139.1	2159.0	2543.0	(7799988, 7801140, '(+)')	DMB38_33845	CP029618	BGC0002702	['DMB38_33845_PCP.3']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0007	gold	DMB38_33855_AMP-binding.1	3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1	1	AZM51140.1	454.0	842.0	(7809238, 7810402, '(+)')	DMB38_33855	CP029618	BGC0002702	['DMB38_33855_Cglyc.1', 'DMB38_33855_PCP.1', 'DMB38_33855_Epimerization.1', 'DMB38_33855_TIGR01720.1', 'DMB38_33855_NRPS-COM_Cterm.1']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0008	gold	DMB38_33865_AMP-binding.1	3,5-dihydroxyphenylglycine	N[C@H](C(=O)O)c1cc(O)cc(O)c1	1	AZM51141.1	456.0	844.0	(7827722, 7828886, '(+)')	DMB38_33865	CP029618	BGC0002702	['DMB38_33865_Cglyc.1', 'DMB38_33865_PCP.1', 'DMB38_33865_X.1', 'DMB38_33865_Thioesterase.1']	2203210	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Actinomycetota', 'class': 'Actinomycetes', 'order': 'Kitasatosporales', 'family': 'Streptomycetaceae', 'genus': 'Streptomyces', 'species': 'Streptomyces sp. WAC 06738'}
ADD0009	gold	AAT12283.1_AMP-binding.2	tryptophan	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N	2	AAT12283.1	1491.0	1896.0	(7212, 8427, '(+)')	AAT12283.1	AY588942	BGC0000384	['AAT12283.1_PCP.2']	158786	{'domain': 'Bacteria', 'kingdom': nan, 'phylum': 'Cyanobacteriota', 'class': 'Cyanophyceae', 'order': 'Oscillatoriales', 'family': 'Oscillatoriaceae', 'genus': 'Lyngbya', 'species': 'Lyngbya majuscula'}
